,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,5,aide,help
5,7,genre,kind
6,9,frère,brother
7,11,car,because
8,12,mettre,to put
9,16,arrivé,come
10,17,bébé,baby
11,19,pendant,while
12,20,revoir,meet again
13,22,place,square
14,25,savais,knew
15,26,étaient,were
16,27,attention,Warning
17,28,voici,here is
18,29,pourrais,could
19,30,type,type
20,32,endroit,place
21,33,yeux,eyes
22,34,façon,way
23,35,écoute,listen
24,36,main,hand
25,37,côté,side
26,38,vieux,old
27,39,sois,be
28,40,matin,morning
29,41,tellement,so much
30,42,point,point
31,45,devant,in front of
32,46,minutes,minutes
33,47,mis,placed
34,48,belle,beautiful
35,49,droit,law
36,50,aimerais,would like to
37,51,aujourd'hui,today
38,52,cause,cause
39,55,parti,left
40,56,nouvelle,new
41,57,boulot,job
42,58,arrêter,Stop
43,60,terre,Earth
44,61,compte,account
45,62,loin,far
46,63,fin,end
47,65,chérie,sweetheart
48,66,gros,large
49,67,plutôt,rather
50,68,aura,will have
51,70,jouer,to play
52,71,bureau,office
